Datetime,Tweet Id,Tweet,Lang,Username,Casefolding,Remove_Special,Tokenizing,Stopword,Stemming,Dataclean
2023-01-02 13:58:11+00:00,1609911938376691713,"Berdalih ga bisa buka kamera karena di lock pihak it
Karena pernah ada kebocoran data perusahaan

Damn aku percaya https://t.co/dejPXpstjt",in,separuhbintangg,"berdalih ga bisa buka kamera karena di lock pihak it
karena pernah ada kebocoran data perusahaan

damn aku percaya https://t.co/dejpxpstjt",berdalih ga bisa buka kamera karena di lock pihak it karena pernah ada kebocoran data perusahaan damn aku percaya ,"['berdalih', 'ga', 'bisa', 'buka', 'kamera', 'karena', 'di', 'lock', 'pihak', 'it', 'karena', 'pernah', 'ada', 'kebocoran', 'data', 'perusahaan', 'damn', 'aku', 'percaya']","['berdalih', 'buka', 'kamera', 'lock', 'it', 'kebocoran', 'data', 'perusahaan', 'damn', 'percaya']","['dalih', 'buka', 'kamera', 'lock', 'it', 'bocor', 'data', 'usaha', 'damn', 'percaya']",dalih buka kamera lock it bocor data usaha damn percaya
2023-01-02 13:12:01+00:00,1609900321010061312,"Banyak kasus kebocoran data, ini tips ampuh menjaga data pribadi Anda - https://t.co/Et1BPuBvcd https://t.co/oex8USVJhp",in,InfoKomputer,"banyak kasus kebocoran data, ini tips ampuh menjaga data pribadi anda - https://t.co/et1bpubvcd https://t.co/oex8usvjhp",banyak kasus kebocoran data  ini tips ampuh menjaga data pribadi anda   ,"['banyak', 'kasus', 'kebocoran', 'data', 'ini', 'tips', 'ampuh', 'menjaga', 'data', 'pribadi', 'anda']","['kebocoran', 'data', 'tips', 'ampuh', 'menjaga', 'data', 'pribadi']","['bocor', 'data', 'tips', 'ampuh', 'jaga', 'data', 'pribadi']",bocor data tips ampuh jaga data pribadi
2023-01-02 08:04:01+00:00,1609822811044065284,"SoyaCincau BM

Siasatan Maybank sahkan tiada kebocoran data pelanggan berlaku

60 saat yang lalu - https://t.co/nec6bOEDEV",in,akmalarif90,"soyacincau bm

siasatan maybank sahkan tiada kebocoran data pelanggan berlaku

60 saat yang lalu - https://t.co/nec6boedev",soyacincau bm siasatan maybank sahkan tiada kebocoran data pelanggan berlaku  saat yang lalu   ,"['soyacincau', 'bm', 'siasatan', 'maybank', 'sahkan', 'tiada', 'kebocoran', 'data', 'pelanggan', 'berlaku', 'saat', 'yang', 'lalu']","['soyacincau', 'bm', 'siasatan', 'maybank', 'sahkan', 'tiada', 'kebocoran', 'data', 'pelanggan', 'berlaku']","['soyacincau', 'bm', 'siasat', 'maybank', 'sahkan', 'tiada', 'bocor', 'data', 'langgan', 'laku']",soyacincau bm siasat maybank sahkan tiada bocor data langgan laku
2023-01-02 08:02:57+00:00,1609822541840846849,"Kebocoran data pun ada scammer sekarang. Tapi jangan leka, sentiasa waspada dengan sebarang aktiviti mencurigakan. https://t.co/aBGQoVNLtU",in,SoyaCincauBM,"kebocoran data pun ada scammer sekarang. tapi jangan leka, sentiasa waspada dengan sebarang aktiviti mencurigakan. https://t.co/abgqovnltu",kebocoran data pun ada scammer sekarang  tapi jangan leka  sentiasa waspada dengan sebarang aktiviti mencurigakan  ,"['kebocoran', 'data', 'pun', 'ada', 'scammer', 'sekarang', 'tapi', 'jangan', 'leka', 'sentiasa', 'waspada', 'dengan', 'sebarang', 'aktiviti', 'mencurigakan']","['kebocoran', 'data', 'scammer', 'leka', 'sentiasa', 'waspada', 'sebarang', 'aktiviti', 'mencurigakan']","['bocor', 'data', 'scammer', 'leka', 'sentiasa', 'waspada', 'sebarang', 'aktiviti', 'curiga']",bocor data scammer leka sentiasa waspada sebarang aktiviti curiga
2023-01-02 07:56:46+00:00,1609820985406152704,"2 kali kena semprot sama bos dikira belom bayar tagihan telkom ðŸ˜’
Pdhal gara2 telkom kebocoran data ini nih. Elah.",in,bundanyasiwat,"2 kali kena semprot sama bos dikira belom bayar tagihan telkom ðŸ˜’
pdhal gara2 telkom kebocoran data ini nih. elah.", kali kena semprot sama bos dikira belom bayar tagihan telkom      pdhal gara telkom kebocoran data ini nih  elah ,"['kali', 'kena', 'semprot', 'sama', 'bos', 'dikira', 'belom', 'bayar', 'tagihan', 'telkom', 'pdhal', 'gara', 'telkom', 'kebocoran', 'data', 'ini', 'nih', 'elah']","['kali', 'kena', 'semprot', 'bos', 'belom', 'bayar', 'tagihan', 'telkom', 'pdhal', 'gara', 'telkom', 'kebocoran', 'data', 'elah']","['kali', 'kena', 'semprot', 'bos', 'bom', 'bayar', 'tagih', 'telkom', 'pdhal', 'gara', 'telkom', 'bocor', 'data', 'elah']",kali kena semprot bos bom bayar tagih telkom pdhal gara telkom bocor data elah
2023-01-02 04:27:03+00:00,1609768206532767745,"@bachrum_achmadi Nasdem Sama aja kadernya bego
ngurus kebocoran data aja GOBLOK",in,Gungun_65432,"@bachrum_achmadi nasdem sama aja kadernya bego
ngurus kebocoran data aja goblok", nasdem sama aja kadernya bego ngurus kebocoran data aja goblok,"['nasdem', 'sama', 'aja', 'kadernya', 'bego', 'ngurus', 'kebocoran', 'data', 'aja', 'goblok']","['nasdem', 'kadernya', 'bego', 'ngurus', 'kebocoran', 'data', 'goblok']","['nasdem', 'kader', 'bego', 'ngurus', 'bocor', 'data', 'goblok']",nasdem kader bego ngurus bocor data goblok
2023-01-02 02:49:03+00:00,1609743545979768839,Toyota India peringatkan kemungkinan kebocoran data pelanggan https://t.co/i9wAC8HTSv,in,antarabiz,toyota india peringatkan kemungkinan kebocoran data pelanggan https://t.co/i9wac8htsv,toyota india peringatkan kemungkinan kebocoran data pelanggan ,"['toyota', 'india', 'peringatkan', 'kemungkinan', 'kebocoran', 'data', 'pelanggan']","['toyota', 'india', 'peringatkan', 'kebocoran', 'data', 'pelanggan']","['toyota', 'india', 'ingat', 'bocor', 'data', 'langgan']",toyota india ingat bocor data langgan
2023-01-01 20:06:27+00:00,1609642226052919296,"Pake disambungin papa lagi ke kebocoran data. Takut nanti pemilu ada yg nelponin hape nya. Suruh milih kandidat tertentu.
Dulu pas papa ga mau pake hape tu, udh iyain aja yaa
Dikasi smartphone gini
Anaknya yg pusing filter informasi ðŸ˜“ðŸ˜“
Panduan bedain hoax sama bukan ada ga si?",in,ericanabena,"pake disambungin papa lagi ke kebocoran data. takut nanti pemilu ada yg nelponin hape nya. suruh milih kandidat tertentu.
dulu pas papa ga mau pake hape tu, udh iyain aja yaa
dikasi smartphone gini
anaknya yg pusing filter informasi ðŸ˜“ðŸ˜“
panduan bedain hoax sama bukan ada ga si?",pake disambungin papa lagi ke kebocoran data  takut nanti pemilu ada yg nelponin hape nya  suruh milih kandidat tertentu  dulu pas papa ga mau pake hape tu  udh iyain aja yaa dikasi smartphone gini anaknya yg pusing filter informasi          panduan bedain hoax sama bukan ada ga si ,"['pake', 'disambungin', 'papa', 'lagi', 'ke', 'kebocoran', 'data', 'takut', 'nanti', 'pemilu', 'ada', 'yg', 'nelponin', 'hape', 'nya', 'suruh', 'milih', 'kandidat', 'tertentu', 'dulu', 'pas', 'papa', 'ga', 'mau', 'pake', 'hape', 'tu', 'udh', 'iyain', 'aja', 'yaa', 'dikasi', 'smartphone', 'gini', 'anaknya', 'yg', 'pusing', 'filter', 'informasi', 'panduan', 'bedain', 'hoax', 'sama', 'bukan', 'ada', 'ga', 'si']","['pake', 'disambungin', 'papa', 'kebocoran', 'data', 'takut', 'pemilu', 'nelponin', 'hape', 'suruh', 'milih', 'kandidat', 'pas', 'papa', 'pake', 'hape', 'tu', 'udh', 'iyain', 'yaa', 'dikasi', 'smartphone', 'gini', 'anaknya', 'pusing', 'filter', 'informasi', 'panduan', 'bedain', 'hoax']","['pake', 'disambungin', 'papa', 'bocor', 'data', 'takut', 'milu', 'nelponin', 'hape', 'suruh', 'milih', 'kandidat', 'pas', 'papa', 'pake', 'hape', 'tu', 'udh', 'iyain', 'yaa', 'kasi', 'smartphone', 'gin', 'anak', 'pusing', 'filter', 'informasi', 'pandu', 'bedain', 'hoax']",pake disambungin papa bocor data takut milu nelponin hape suruh milih kandidat pas papa pake hape tu udh iyain yaa kasi smartphone gin anak pusing filter informasi pandu bedain hoax
2023-01-01 12:25:51+00:00,1609526312183496704,Maybank sahkan isu kebocoran Data Peribadi Penggunanya adalah tidak benar #Maybank https://t.co/5lt9xa54JP,in,hteknologimy,maybank sahkan isu kebocoran data peribadi penggunanya adalah tidak benar #maybank https://t.co/5lt9xa54jp,maybank sahkan isu kebocoran data peribadi penggunanya adalah tidak benar maybank ,"['maybank', 'sahkan', 'isu', 'kebocoran', 'data', 'peribadi', 'penggunanya', 'adalah', 'tidak', 'benar', 'maybank']","['maybank', 'sahkan', 'isu', 'kebocoran', 'data', 'peribadi', 'penggunanya', 'maybank']","['maybank', 'sahkan', 'isu', 'bocor', 'data', 'peribadi', 'guna', 'maybank']",maybank sahkan isu bocor data peribadi guna maybank
2023-01-01 03:02:21+00:00,1609384503402991617,"[Otomasi Security Check/Testing]
Mulai banyak kebocoran data (saat ini sudah dialami). Awareness tentang keamanan data mulai muncul. Role Security Engineer akan menjadi seksi.
https://t.co/xKOUMouUTV
https://t.co/LaXGUFqEyC
https://t.co/6t2rVSimRZ https://t.co/ki3dFhS1Yl",in,pekerja_paksa,"[otomasi security check/testing]
mulai banyak kebocoran data (saat ini sudah dialami). awareness tentang keamanan data mulai muncul. role security engineer akan menjadi seksi.
https://t.co/xkoumouutv
https://t.co/laxgufqeyc
https://t.co/6t2rvsimrz https://t.co/ki3dfhs1yl", otomasi security check testing  mulai banyak kebocoran data  saat ini sudah dialami   awareness tentang keamanan data mulai muncul  role security engineer akan menjadi seksi  ,"['otomasi', 'security', 'check', 'testing', 'mulai', 'banyak', 'kebocoran', 'data', 'saat', 'ini', 'sudah', 'dialami', 'awareness', 'tentang', 'keamanan', 'data', 'mulai', 'muncul', 'role', 'security', 'engineer', 'akan', 'menjadi', 'seksi']","['otomasi', 'security', 'check', 'testing', 'kebocoran', 'data', 'dialami', 'awareness', 'keamanan', 'data', 'muncul', 'role', 'security', 'engineer', 'seksi']","['otomasi', 'security', 'check', 'testing', 'bocor', 'data', 'alami', 'awareness', 'aman', 'data', 'muncul', 'role', 'security', 'engineer', 'seksi']",otomasi security check testing bocor data alami awareness aman data muncul role security engineer seksi
2023-01-01 02:40:06+00:00,1609378907383549952,"Maybank Mengesahkan Dakwaan Kebocoran Data Adalah Tidak Benar
https://t.co/0NXybjUKH2 https://t.co/VoJpVdm0PD",in,thevocket,"maybank mengesahkan dakwaan kebocoran data adalah tidak benar
https://t.co/0nxybjukh2 https://t.co/vojpvdm0pd",maybank mengesahkan dakwaan kebocoran data adalah tidak benar ,"['maybank', 'mengesahkan', 'dakwaan', 'kebocoran', 'data', 'adalah', 'tidak', 'benar']","['maybank', 'mengesahkan', 'dakwaan', 'kebocoran', 'data']","['maybank', 'kesah', 'dakwa', 'bocor', 'data']",maybank kesah dakwa bocor data
2023-01-01 02:20:28+00:00,1609373965339987969,"â€œKesimpulan penyiasatan terhadap dakwaan pihak ketiga mengenai kebocoran data pelanggan, @MyMaybank boleh mengesahkan bahawa dakwaan ini adalah palsu."" 
 https://t.co/P5MHcBOBrm via @suara_tv",in,suara_tv,"â€œkesimpulan penyiasatan terhadap dakwaan pihak ketiga mengenai kebocoran data pelanggan, @mymaybank boleh mengesahkan bahawa dakwaan ini adalah palsu."" 
 https://t.co/p5mhcbobrm via @suara_tv",   kesimpulan penyiasatan terhadap dakwaan pihak ketiga mengenai kebocoran data pelanggan  boleh mengesahkan bahawa dakwaan ini adalah palsu   via ,"['kesimpulan', 'penyiasatan', 'terhadap', 'dakwaan', 'pihak', 'ketiga', 'mengenai', 'kebocoran', 'data', 'pelanggan', 'boleh', 'mengesahkan', 'bahawa', 'dakwaan', 'ini', 'adalah', 'palsu', 'via']","['kesimpulan', 'penyiasatan', 'dakwaan', 'ketiga', 'kebocoran', 'data', 'pelanggan', 'mengesahkan', 'bahawa', 'dakwaan', 'palsu', 'via']","['simpul', 'siasat', 'dakwa', 'tiga', 'bocor', 'data', 'langgan', 'kesah', 'bahawa', 'dakwa', 'palsu', 'via']",simpul siasat dakwa tiga bocor data langgan kesah bahawa dakwa palsu via
2022-12-31 23:47:31+00:00,1609335475155918849,"Tahap sekuriti sistem pangkalan data di negara ini perlu sentiasa ditambah baik bagi mengelak ia mudah digodam hingga kes kebocoran data berterusan berlaku. - Pakar Keselamatan Siber

https://t.co/IiRnjLZGi5

https://t.co/IiRnjLZGi5",in,SinarOnline,"tahap sekuriti sistem pangkalan data di negara ini perlu sentiasa ditambah baik bagi mengelak ia mudah digodam hingga kes kebocoran data berterusan berlaku. - pakar keselamatan siber

https://t.co/iirnjlzgi5

https://t.co/iirnjlzgi5",tahap sekuriti sistem pangkalan data di negara ini perlu sentiasa ditambah baik bagi mengelak ia mudah digodam hingga kes kebocoran data berterusan berlaku    pakar keselamatan siber ,"['tahap', 'sekuriti', 'sistem', 'pangkalan', 'data', 'di', 'negara', 'ini', 'perlu', 'sentiasa', 'ditambah', 'baik', 'bagi', 'mengelak', 'ia', 'mudah', 'digodam', 'hingga', 'kes', 'kebocoran', 'data', 'berterusan', 'berlaku', 'pakar', 'keselamatan', 'siber']","['tahap', 'sekuriti', 'sistem', 'pangkalan', 'data', 'negara', 'sentiasa', 'ditambah', 'mengelak', 'mudah', 'digodam', 'kes', 'kebocoran', 'data', 'berterusan', 'berlaku', 'pakar', 'keselamatan', 'siber']","['tahap', 'sekuriti', 'sistem', 'pangkal', 'data', 'negara', 'sentiasa', 'tambah', 'elak', 'mudah', 'godam', 'kes', 'bocor', 'data', 'terus', 'laku', 'pakar', 'selamat', 'siber']",tahap sekuriti sistem pangkal data negara sentiasa tambah elak mudah godam kes bocor data terus laku pakar selamat siber
2022-12-31 23:01:58+00:00,1609324011057721344,"YearStarter 2023: Teknologi â€“ 5G, kebocoran data dan Elon Musk menguasai berita teknologi 2022 - https://t.co/eKEFmBGvbB
Setahun selepas Malaysia mula pulih daripada wabak itu",in,BeritakiniB,"yearstarter 2023: teknologi â€“ 5g, kebocoran data dan elon musk menguasai berita teknologi 2022 - https://t.co/ekefmbgvbb
setahun selepas malaysia mula pulih daripada wabak itu",yearstarter   teknologi     g  kebocoran data dan elon musk menguasai berita teknologi    setahun selepas malaysia mula pulih daripada wabak itu,"['yearstarter', 'teknologi', 'g', 'kebocoran', 'data', 'dan', 'elon', 'musk', 'menguasai', 'berita', 'teknologi', 'setahun', 'selepas', 'malaysia', 'mula', 'pulih', 'daripada', 'wabak', 'itu']","['yearstarter', 'teknologi', 'g', 'kebocoran', 'data', 'elon', 'musk', 'menguasai', 'berita', 'teknologi', 'setahun', 'selepas', 'malaysia', 'pulih', 'wabak']","['yearstarter', 'teknologi', 'g', 'bocor', 'data', 'elon', 'musk', 'kuasa', 'berita', 'teknologi', 'tahun', 'lepas', 'malaysia', 'pulih', 'wabak']",yearstarter teknologi g bocor data elon musk kuasa berita teknologi tahun lepas malaysia pulih wabak
2022-12-31 18:18:22+00:00,1609252640587939842,"@twt_abgjay @fahmi_fadzil Jadi, bagaimana pula laporan saya tentang kebocoran data TM Unifi tu diakui oleh pihak TM sendiri? Adakah itu pun saya â€˜cilukâ€™ maklumat org lain? Data TM Unifi tu dijual pada forum yg sama yang menjual data-data lain yg dikatakan bocor dari Malaysia. Sila semak.",in,PendakwahTekno,"@twt_abgjay @fahmi_fadzil jadi, bagaimana pula laporan saya tentang kebocoran data tm unifi tu diakui oleh pihak tm sendiri? adakah itu pun saya â€˜cilukâ€™ maklumat org lain? data tm unifi tu dijual pada forum yg sama yang menjual data-data lain yg dikatakan bocor dari malaysia. sila semak.", jadi  bagaimana pula laporan saya tentang kebocoran data tm unifi tu diakui oleh pihak tm sendiri  adakah itu pun saya    ciluk    maklumat org lain  data tm unifi tu dijual pada forum yg sama yang menjual data data lain yg dikatakan bocor dari malaysia  sila semak ,"['jadi', 'bagaimana', 'pula', 'laporan', 'saya', 'tentang', 'kebocoran', 'data', 'tm', 'unifi', 'tu', 'diakui', 'oleh', 'pihak', 'tm', 'sendiri', 'adakah', 'itu', 'pun', 'saya', 'ciluk', 'maklumat', 'org', 'lain', 'data', 'tm', 'unifi', 'tu', 'dijual', 'pada', 'forum', 'yg', 'sama', 'yang', 'menjual', 'data', 'data', 'lain', 'yg', 'dikatakan', 'bocor', 'dari', 'malaysia', 'sila', 'semak']","['laporan', 'kebocoran', 'data', 'tm', 'unifi', 'tu', 'diakui', 'tm', 'adakah', 'ciluk', 'maklumat', 'org', 'data', 'tm', 'unifi', 'tu', 'dijual', 'forum', 'menjual', 'data', 'data', 'bocor', 'malaysia', 'sila', 'semak']","['lapor', 'bocor', 'data', 'tm', 'unifi', 'tu', 'aku', 'tm', 'ada', 'ciluk', 'maklumat', 'org', 'data', 'tm', 'unifi', 'tu', 'jual', 'forum', 'jual', 'data', 'data', 'bocor', 'malaysia', 'sila', 'semak']",lapor bocor data tm unifi tu aku tm ada ciluk maklumat org data tm unifi tu jual forum jual data data bocor malaysia sila semak
2022-12-31 18:16:21+00:00,1609252132494139398,@twt_abgjay @fahmi_fadzil Terima kasih atas komen tuan. Dimana pula tuan katakan saya â€˜cilokâ€™ kes kebocoran maklumat? Saya dah banyak kali cakap tentang kes kebocoran maklumat. Malah 7 bulan dulu saya sudah bincangkan isu kebocoran data ni kepada orang awam supaya mereka lebih cakna dan berhati-hati.,in,PendakwahTekno,@twt_abgjay @fahmi_fadzil terima kasih atas komen tuan. dimana pula tuan katakan saya â€˜cilokâ€™ kes kebocoran maklumat? saya dah banyak kali cakap tentang kes kebocoran maklumat. malah 7 bulan dulu saya sudah bincangkan isu kebocoran data ni kepada orang awam supaya mereka lebih cakna dan berhati-hati., terima kasih atas komen tuan  dimana pula tuan katakan saya    cilok    kes kebocoran maklumat  saya dah banyak kali cakap tentang kes kebocoran maklumat  malah  bulan dulu saya sudah bincangkan isu kebocoran data ni kepada orang awam supaya mereka lebih cakna dan berhati hati ,"['terima', 'kasih', 'atas', 'komen', 'tuan', 'dimana', 'pula', 'tuan', 'katakan', 'saya', 'cilok', 'kes', 'kebocoran', 'maklumat', 'saya', 'dah', 'banyak', 'kali', 'cakap', 'tentang', 'kes', 'kebocoran', 'maklumat', 'malah', 'bulan', 'dulu', 'saya', 'sudah', 'bincangkan', 'isu', 'kebocoran', 'data', 'ni', 'kepada', 'orang', 'awam', 'supaya', 'mereka', 'lebih', 'cakna', 'dan', 'berhati', 'hati']","['terima', 'kasih', 'komen', 'tuan', 'dimana', 'tuan', 'cilok', 'kes', 'kebocoran', 'maklumat', 'dah', 'kali', 'cakap', 'kes', 'kebocoran', 'maklumat', 'bincangkan', 'isu', 'kebocoran', 'data', 'ni', 'orang', 'awam', 'cakna', 'berhati', 'hati']","['terima', 'kasih', 'komen', 'tuan', 'mana', 'tuan', 'cilok', 'kes', 'bocor', 'maklumat', 'dah', 'kali', 'cakap', 'kes', 'bocor', 'maklumat', 'bincang', 'isu', 'bocor', 'data', 'ni', 'orang', 'awam', 'cakna', 'hati', 'hati']",terima kasih komen tuan mana tuan cilok kes bocor maklumat dah kali cakap kes bocor maklumat bincang isu bocor data ni orang awam cakna hati hati
