Datetime,Tweet,Casefolding,Remove_Special_Text,Tokenizing,Stopword,Stemming,Dataclean
2023-01-09 15:40:50+00:00,"@anima Belum lagi isu keamanan data kalo pake wifi publik, giliran kebocoran aja langsung teriak2 Bjorka bjorka","@anima belum lagi isu keamanan data kalo pake wifi publik, giliran kebocoran aja langsung teriak2 bjorka bjorka", belum lagi isu keamanan data kalo pake wifi publik  giliran kebocoran aja langsung teriak bjorka bjorka,"['belum', 'lagi', 'isu', 'keamanan', 'data', 'kalo', 'pake', 'wifi', 'publik', 'giliran', 'kebocoran', 'aja', 'langsung', 'teriak', 'bjorka', 'bjorka']","['isu', 'keamanan', 'data', 'pake', 'wifi', 'publik', 'giliran', 'kebocoran', 'langsung', 'teriak', 'bjorka', 'bjorka']","['isu', 'aman', 'data', 'pake', 'wifi', 'publik', 'gilir', 'bocor', 'langsung', 'teriak', 'bjorka', 'bjorka']",isu aman data pake wifi publik gilir bocor langsung teriak bjorka bjorka
2023-01-09 11:21:03+00:00,"Oleh karena itu, penting bagi kita semua untuk terlebih dahulu mengenali apa saja penyebab dari kebocoran data. 

Ingin tahu apa saja? Yuk disimak informasi berikut! https://t.co/g2zQYpAdb9","oleh karena itu, penting bagi kita semua untuk terlebih dahulu mengenali apa saja penyebab dari kebocoran data. 

ingin tahu apa saja? yuk disimak informasi berikut! https://t.co/g2zqypadb9",oleh karena itu  penting bagi kita semua untuk terlebih dahulu mengenali apa saja penyebab dari kebocoran data  ingin tahu apa saja  yuk disimak informasi berikut  ,"['oleh', 'karena', 'itu', 'penting', 'bagi', 'kita', 'semua', 'untuk', 'terlebih', 'dahulu', 'mengenali', 'apa', 'saja', 'penyebab', 'dari', 'kebocoran', 'data', 'ingin', 'tahu', 'apa', 'saja', 'yuk', 'disimak', 'informasi', 'berikut']","['mengenali', 'penyebab', 'kebocoran', 'data', 'yuk', 'disimak', 'informasi']","['nali', 'sebab', 'bocor', 'data', 'yuk', 'simak', 'informasi']",nali sebab bocor data yuk simak informasi
2023-01-09 11:19:58+00:00,"Dampak terburuk yang mungkin bisa terjadi karena kebocoran data di perusahaan atau organisasi yaitu hilangnya kepercayaan publik, reputasi, denda, dan bahkan dapat menimbulkan tuntutan hukum.","dampak terburuk yang mungkin bisa terjadi karena kebocoran data di perusahaan atau organisasi yaitu hilangnya kepercayaan publik, reputasi, denda, dan bahkan dapat menimbulkan tuntutan hukum.",dampak terburuk yang mungkin bisa terjadi karena kebocoran data di perusahaan atau organisasi yaitu hilangnya kepercayaan publik  reputasi  denda  dan bahkan dapat menimbulkan tuntutan hukum ,"['dampak', 'terburuk', 'yang', 'mungkin', 'bisa', 'terjadi', 'karena', 'kebocoran', 'data', 'di', 'perusahaan', 'atau', 'organisasi', 'yaitu', 'hilangnya', 'kepercayaan', 'publik', 'reputasi', 'denda', 'dan', 'bahkan', 'dapat', 'menimbulkan', 'tuntutan', 'hukum']","['dampak', 'terburuk', 'kebocoran', 'data', 'perusahaan', 'organisasi', 'hilangnya', 'kepercayaan', 'publik', 'reputasi', 'denda', 'menimbulkan', 'tuntutan', 'hukum']","['dampak', 'buruk', 'bocor', 'data', 'usaha', 'organisasi', 'hilang', 'percaya', 'publik', 'reputasi', 'denda', 'timbul', 'tuntut', 'hukum']",dampak buruk bocor data usaha organisasi hilang percaya publik reputasi denda timbul tuntut hukum
2023-01-09 05:02:29+00:00,@501Awani Semua pihak harus bekerjasama membendung jenayah siber untuk menjamin kebocoran data individu dan sesuatu organisasi.,@501awani semua pihak harus bekerjasama membendung jenayah siber untuk menjamin kebocoran data individu dan sesuatu organisasi., semua pihak harus bekerjasama membendung jenayah siber untuk menjamin kebocoran data individu dan sesuatu organisasi ,"['semua', 'pihak', 'harus', 'bekerjasama', 'membendung', 'jenayah', 'siber', 'untuk', 'menjamin', 'kebocoran', 'data', 'individu', 'dan', 'sesuatu', 'organisasi']","['bekerjasama', 'membendung', 'jenayah', 'siber', 'menjamin', 'kebocoran', 'data', 'individu', 'organisasi']","['bekerjasama', 'bendung', 'jenayah', 'siber', 'jamin', 'bocor', 'data', 'individu', 'organisasi']",bekerjasama bendung jenayah siber jamin bocor data individu organisasi
2023-01-08 22:12:34+00:00,"#PartaiDemokrat: RUU PDP sangat penting untuk segera disahkan menjadi UU, agar masyarakat terlindungi dari kebocoran &amp; penyebaran data pribadi","#partaidemokrat: ruu pdp sangat penting untuk segera disahkan menjadi uu, agar masyarakat terlindungi dari kebocoran &amp; penyebaran data pribadi",partaidemokrat  ruu pdp sangat penting untuk segera disahkan menjadi uu  agar masyarakat terlindungi dari kebocoran  amp  penyebaran data pribadi,"['partaidemokrat', 'ruu', 'pdp', 'sangat', 'penting', 'untuk', 'segera', 'disahkan', 'menjadi', 'uu', 'agar', 'masyarakat', 'terlindungi', 'dari', 'kebocoran', 'amp', 'penyebaran', 'data', 'pribadi']","['partaidemokrat', 'ruu', 'pdp', 'disahkan', 'uu', 'masyarakat', 'terlindungi', 'kebocoran', 'penyebaran', 'data', 'pribadi']","['partaidemokrat', 'ruu', 'pdp', 'sah', 'uu', 'masyarakat', 'lindung', 'bocor', 'sebar', 'data', 'pribadi']",partaidemokrat ruu pdp sah uu masyarakat lindung bocor sebar data pribadi
2023-01-08 06:07:02+00:00,"@detikcom setau saya aplikasi mobile, ATM, pengisian uang ATM sampai maintenace di pihak ke 3an oleh bank2 BUMN, jadi terima bersih saja bank nya, ganti rugi, kebocoran data dll otomatis ditanggung vendor yg ditunjuk, beda sama bank swasta yg dikelola sama orang terkaya di Indonesia.","@detikcom setau saya aplikasi mobile, atm, pengisian uang atm sampai maintenace di pihak ke 3an oleh bank2 bumn, jadi terima bersih saja bank nya, ganti rugi, kebocoran data dll otomatis ditanggung vendor yg ditunjuk, beda sama bank swasta yg dikelola sama orang terkaya di indonesia.", setau saya aplikasi mobile  atm  pengisian uang atm sampai maintenace di pihak ke an oleh bank bumn  jadi terima bersih saja bank nya  ganti rugi  kebocoran data dll otomatis ditanggung vendor yg ditunjuk  beda sama bank swasta yg dikelola sama orang terkaya di indonesia ,"['setau', 'saya', 'aplikasi', 'mobile', 'atm', 'pengisian', 'uang', 'atm', 'sampai', 'maintenace', 'di', 'pihak', 'ke', 'an', 'oleh', 'bank', 'bumn', 'jadi', 'terima', 'bersih', 'saja', 'bank', 'nya', 'ganti', 'rugi', 'kebocoran', 'data', 'dll', 'otomatis', 'ditanggung', 'vendor', 'yg', 'ditunjuk', 'beda', 'sama', 'bank', 'swasta', 'yg', 'dikelola', 'sama', 'orang', 'terkaya', 'di', 'indonesia']","['setau', 'aplikasi', 'mobile', 'atm', 'pengisian', 'uang', 'atm', 'maintenace', 'an', 'bank', 'bumn', 'terima', 'bersih', 'bank', 'ganti', 'rugi', 'kebocoran', 'data', 'dll', 'otomatis', 'ditanggung', 'vendor', 'beda', 'bank', 'swasta', 'dikelola', 'orang', 'terkaya', 'indonesia']","['tau', 'aplikasi', 'mobile', 'atm', 'isi', 'uang', 'atm', 'maintenace', 'an', 'bank', 'bumn', 'terima', 'bersih', 'bank', 'ganti', 'rugi', 'bocor', 'data', 'dll', 'otomatis', 'tanggung', 'vendor', 'beda', 'bank', 'swasta', 'kelola', 'orang', 'kaya', 'indonesia']",tau aplikasi mobile atm isi uang atm maintenace an bank bumn terima bersih bank ganti rugi bocor data dll otomatis tanggung vendor beda bank swasta kelola orang kaya indonesia
2023-01-08 03:40:08+00:00,Mencegah kebocoran data melalui penerapan standar keamanan informasi ISO 27001 https://t.co/FQ0hZPn4O9,mencegah kebocoran data melalui penerapan standar keamanan informasi iso 27001 https://t.co/fq0hzpn4o9,mencegah kebocoran data melalui penerapan standar keamanan informasi iso  ,"['mencegah', 'kebocoran', 'data', 'melalui', 'penerapan', 'standar', 'keamanan', 'informasi', 'iso']","['mencegah', 'kebocoran', 'data', 'penerapan', 'standar', 'keamanan', 'informasi', 'iso']","['cegah', 'bocor', 'data', 'terap', 'standar', 'aman', 'informasi', 'iso']",cegah bocor data terap standar aman informasi iso
2023-01-08 02:51:58+00:00,"Komentar: Bukan data, atau koordinat yang menjadi rahasia seperti yg mereka katakan ttg kebocoran informasi. Akan tetapi yang lebih bahaya adalah kebocoran teknologi. Jika China sedikit cerdik, mereka bongkar rudal tsb, dan menelusuri seluruh infomrasi komponen yang digunakan.","komentar: bukan data, atau koordinat yang menjadi rahasia seperti yg mereka katakan ttg kebocoran informasi. akan tetapi yang lebih bahaya adalah kebocoran teknologi. jika china sedikit cerdik, mereka bongkar rudal tsb, dan menelusuri seluruh infomrasi komponen yang digunakan.",komentar  bukan data  atau koordinat yang menjadi rahasia seperti yg mereka katakan ttg kebocoran informasi  akan tetapi yang lebih bahaya adalah kebocoran teknologi  jika china sedikit cerdik  mereka bongkar rudal tsb  dan menelusuri seluruh infomrasi komponen yang digunakan ,"['komentar', 'bukan', 'data', 'atau', 'koordinat', 'yang', 'menjadi', 'rahasia', 'seperti', 'yg', 'mereka', 'katakan', 'ttg', 'kebocoran', 'informasi', 'akan', 'tetapi', 'yang', 'lebih', 'bahaya', 'adalah', 'kebocoran', 'teknologi', 'jika', 'china', 'sedikit', 'cerdik', 'mereka', 'bongkar', 'rudal', 'tsb', 'dan', 'menelusuri', 'seluruh', 'infomrasi', 'komponen', 'yang', 'digunakan']","['komentar', 'data', 'koordinat', 'rahasia', 'ttg', 'kebocoran', 'informasi', 'bahaya', 'kebocoran', 'teknologi', 'china', 'cerdik', 'bongkar', 'rudal', 'tsb', 'menelusuri', 'infomrasi', 'komponen']","['komentar', 'data', 'koordinat', 'rahasia', 'ttg', 'bocor', 'informasi', 'bahaya', 'bocor', 'teknologi', 'china', 'cerdik', 'bongkar', 'rudal', 'tsb', 'telusur', 'infomrasi', 'komponen']",komentar data koordinat rahasia ttg bocor informasi bahaya bocor teknologi china cerdik bongkar rudal tsb telusur infomrasi komponen
2023-01-07 22:37:16+00:00,Inilah antara bahaya kebocoran data. https://t.co/SH5cKXIsTs,inilah antara bahaya kebocoran data. https://t.co/sh5ckxists,inilah antara bahaya kebocoran data  ,"['inilah', 'antara', 'bahaya', 'kebocoran', 'data']","['bahaya', 'kebocoran', 'data']","['bahaya', 'bocor', 'data']",bahaya bocor data
2023-01-07 15:39:02+00:00,MPK sanggah dakwaan kebocoran data di laman sesawang https://t.co/V2iRCMRQf3,mpk sanggah dakwaan kebocoran data di laman sesawang https://t.co/v2ircmrqf3,mpk sanggah dakwaan kebocoran data di laman sesawang ,"['mpk', 'sanggah', 'dakwaan', 'kebocoran', 'data', 'di', 'laman', 'sesawang']","['mpk', 'sanggah', 'dakwaan', 'kebocoran', 'data', 'laman', 'sesawang']","['mpk', 'sanggah', 'dakwa', 'bocor', 'data', 'laman', 'sawang']",mpk sanggah dakwa bocor data laman sawang
2023-01-07 15:33:53+00:00,"Majlis Perbandaran Klang (MPK) menafikan dakwaan yang tular di media sosial berlakunya kebocoran data daripada sumber laman sesawangnya.

https://t.co/kxEh1pYdMj","majlis perbandaran klang (mpk) menafikan dakwaan yang tular di media sosial berlakunya kebocoran data daripada sumber laman sesawangnya.

https://t.co/kxeh1pydmj",majlis perbandaran klang  mpk  menafikan dakwaan yang tular di media sosial berlakunya kebocoran data daripada sumber laman sesawangnya  ,"['majlis', 'perbandaran', 'klang', 'mpk', 'menafikan', 'dakwaan', 'yang', 'tular', 'di', 'media', 'sosial', 'berlakunya', 'kebocoran', 'data', 'daripada', 'sumber', 'laman', 'sesawangnya']","['majlis', 'perbandaran', 'klang', 'mpk', 'menafikan', 'dakwaan', 'tular', 'media', 'sosial', 'berlakunya', 'kebocoran', 'data', 'sumber', 'laman', 'sesawangnya']","['majlis', 'bandar', 'klang', 'mpk', 'nafi', 'dakwa', 'tular', 'media', 'sosial', 'laku', 'bocor', 'data', 'sumber', 'laman', 'sawang']",majlis bandar klang mpk nafi dakwa tular media sosial laku bocor data sumber laman sawang
2023-01-07 10:03:05+00:00,#Terpopuler Twitter kembali dilanda kasus kebocoran data. Data yang bocor berisi alamat email milik 200 juta pengguna yang dijual di forum hacker senilai Rp 30 ribuan. https://t.co/DpfV85a7ZL,#terpopuler twitter kembali dilanda kasus kebocoran data. data yang bocor berisi alamat email milik 200 juta pengguna yang dijual di forum hacker senilai rp 30 ribuan. https://t.co/dpfv85a7zl,terpopuler twitter kembali dilanda kasus kebocoran data  data yang bocor berisi alamat email milik  juta pengguna yang dijual di forum hacker senilai rp  ribuan  ,"['terpopuler', 'twitter', 'kembali', 'dilanda', 'kasus', 'kebocoran', 'data', 'data', 'yang', 'bocor', 'berisi', 'alamat', 'email', 'milik', 'juta', 'pengguna', 'yang', 'dijual', 'di', 'forum', 'hacker', 'senilai', 'rp', 'ribuan']","['terpopuler', 'twitter', 'dilanda', 'kebocoran', 'data', 'data', 'bocor', 'berisi', 'alamat', 'email', 'milik', 'juta', 'pengguna', 'dijual', 'forum', 'hacker', 'senilai', 'rp', 'ribuan']","['populer', 'twitter', 'landa', 'bocor', 'data', 'data', 'bocor', 'isi', 'alamat', 'email', 'milik', 'juta', 'guna', 'jual', 'forum', 'hacker', 'nila', 'rp', 'ribu']",populer twitter landa bocor data data bocor isi alamat email milik juta guna jual forum hacker nila rp ribu
2023-01-07 00:30:30+00:00,"Twitter baru saja mengalami kebocoran data 235 juta penggunanya dan oleh acker disebar cuma-cuma di forum gelap
https://t.co/MF0HMlhbrQ","twitter baru saja mengalami kebocoran data 235 juta penggunanya dan oleh acker disebar cuma-cuma di forum gelap
https://t.co/mf0hmlhbrq",twitter baru saja mengalami kebocoran data  juta penggunanya dan oleh acker disebar cuma cuma di forum gelap ,"['twitter', 'baru', 'saja', 'mengalami', 'kebocoran', 'data', 'juta', 'penggunanya', 'dan', 'oleh', 'acker', 'disebar', 'cuma', 'cuma', 'di', 'forum', 'gelap']","['twitter', 'mengalami', 'kebocoran', 'data', 'juta', 'penggunanya', 'acker', 'disebar', 'forum', 'gelap']","['twitter', 'alami', 'bocor', 'data', 'juta', 'guna', 'acker', 'sebar', 'forum', 'gelap']",twitter alami bocor data juta guna acker sebar forum gelap
2023-01-06 12:08:07+00:00,Gal berujar bahwa peretasan yang terjadi di Twitter tersebut adalah salah satu kebocoran data paling besar yang pernah dia lihat. https://t.co/qKMps0gxWU,gal berujar bahwa peretasan yang terjadi di twitter tersebut adalah salah satu kebocoran data paling besar yang pernah dia lihat. https://t.co/qkmps0gxwu,gal berujar bahwa peretasan yang terjadi di twitter tersebut adalah salah satu kebocoran data paling besar yang pernah dia lihat  ,"['gal', 'berujar', 'bahwa', 'peretasan', 'yang', 'terjadi', 'di', 'twitter', 'tersebut', 'adalah', 'salah', 'satu', 'kebocoran', 'data', 'paling', 'besar', 'yang', 'pernah', 'dia', 'lihat']","['gal', 'peretasan', 'twitter', 'salah', 'kebocoran', 'data', 'lihat']","['gal', 'retas', 'twitter', 'salah', 'bocor', 'data', 'lihat']",gal retas twitter salah bocor data lihat
2023-01-06 09:04:44+00:00,Twitter kembali dilanda kasus kebocoran data. Data yang bocor berisi alamat email milik 200 juta pengguna yang dijual di forum hacker senilai Rp 30 ribuan. https://t.co/Gima1wgv5P,twitter kembali dilanda kasus kebocoran data. data yang bocor berisi alamat email milik 200 juta pengguna yang dijual di forum hacker senilai rp 30 ribuan. https://t.co/gima1wgv5p,twitter kembali dilanda kasus kebocoran data  data yang bocor berisi alamat email milik  juta pengguna yang dijual di forum hacker senilai rp  ribuan  ,"['twitter', 'kembali', 'dilanda', 'kasus', 'kebocoran', 'data', 'data', 'yang', 'bocor', 'berisi', 'alamat', 'email', 'milik', 'juta', 'pengguna', 'yang', 'dijual', 'di', 'forum', 'hacker', 'senilai', 'rp', 'ribuan']","['twitter', 'dilanda', 'kebocoran', 'data', 'data', 'bocor', 'berisi', 'alamat', 'email', 'milik', 'juta', 'pengguna', 'dijual', 'forum', 'hacker', 'senilai', 'rp', 'ribuan']","['twitter', 'landa', 'bocor', 'data', 'data', 'bocor', 'isi', 'alamat', 'email', 'milik', 'juta', 'guna', 'jual', 'forum', 'hacker', 'nila', 'rp', 'ribu']",twitter landa bocor data data bocor isi alamat email milik juta guna jual forum hacker nila rp ribu
2023-01-06 08:35:59+00:00,"Lagi-lagi dilanda kebocoran data, alamat email milik 200 juta pengguna Twitter dijual di forum hacker senilai Rp30 ribuan.  https://t.co/bJpN5QcB6n","lagi-lagi dilanda kebocoran data, alamat email milik 200 juta pengguna twitter dijual di forum hacker senilai rp30 ribuan.  https://t.co/bjpn5qcb6n",lagi lagi dilanda kebocoran data  alamat email milik  juta pengguna twitter dijual di forum hacker senilai rp ribuan  ,"['lagi', 'lagi', 'dilanda', 'kebocoran', 'data', 'alamat', 'email', 'milik', 'juta', 'pengguna', 'twitter', 'dijual', 'di', 'forum', 'hacker', 'senilai', 'rp', 'ribuan']","['dilanda', 'kebocoran', 'data', 'alamat', 'email', 'milik', 'juta', 'pengguna', 'twitter', 'dijual', 'forum', 'hacker', 'senilai', 'rp', 'ribuan']","['landa', 'bocor', 'data', 'alamat', 'email', 'milik', 'juta', 'guna', 'twitter', 'jual', 'forum', 'hacker', 'nila', 'rp', 'ribu']",landa bocor data alamat email milik juta guna twitter jual forum hacker nila rp ribu
